university_id,university_name,year,world_rank,national_rank,overall_score,country,region,city,university_type,academic_reputation_score,employer_reputation_score,citations_score,publications_count,citations_count,citations_per_faculty,h_index,research_output_score,research_productivity_index,subject_field,total_students,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
1,ADA University,2026,1300.5,9,40.6,Azerbaijan,Asia,Azerbaijan,Public,8.4,22.4,1.3,1778,422,1,19,4.9,4.21,Natural Sciences,4860,1221,25.13328491,422,11.51658768,45:55:00,45.14607913,54.85392087,Undergraduate & Postgraduate,2461,2399,963,9,688,38.93,17.37,1.61,18.11
2,AGH University of Krakow,2016,723,4,18.52551948,Poland,Europe,Poland,Public,19.25403763,22.22205167,20.89814428,11072,66912,22.59782075,260,20.1,3.74,Natural Sciences,35569,0,0,2961,12.01249578,65:35:00,65.20924781,34.79075219,Undergraduate & Postgraduate,26756,8813,681.14,7,507,20.2,19.84,21.72,2.57
2,AGH University of Krakow,2017,711,7,22.59,Poland,Europe,Poland,Public,19.49620164,17.8082722,18.68080748,9367,60608,20.2161727,249,19.1,3.12,Engineering & Technology,33244,665,2,2998,11.08872582,36 : 64,36,64,Undergraduate & Postgraduate,22164,11080,713.75,12,366,23.06,22.35,22.97,275.83
2,AGH University of Krakow,2018,789,4,22.365,Poland,Europe,Poland,Public,22.1315777,18.72828521,24.81008503,5551,46388,26.58356272,166,23.5,3.18,Life Sciences & Medicine,32930,659,2,1745,18.87106017,34 : 66,34,66,Undergraduate & Postgraduate,21842,11088,847.21,17,415.5,19.6,19.74,19.77,332.45
2,AGH University of Krakow,2019,983,15,19.3375,Poland,Europe,Poland,Public,18.74123215,16.54224307,24.78169221,2135,50422,19.97685492,250,21.8,0.85,Social Sciences & Management,31252,625,2,2524,12.38193344,51:49:00,50.76094818,49.23905182,Undergraduate & Postgraduate,24491,6761,883.9,20,394,23.08,23.16,23.36,699.7
2,AGH University of Krakow,2020,1128,19,18.95,Poland,Europe,Poland,Public,19.61330868,23.15333768,16.87134515,5398,46756,17.65058492,273,18.2,2.04,Social Sciences & Management,28620,572,2,2649,10.80407701,54:46:00,54.29675834,45.70324166,Undergraduate & Postgraduate,23075,5545,918.61,23,338,26.38,25.6,26.04,609.34
2,AGH University of Krakow,2021,1220,22,19.14,Poland,Europe,Poland,Public,15.54992449,14.96579126,16.56311916,7660,17173,10.51644579,132,16.1,4.69,Arts & Humanities,24949,748,3,1633,15.27801592,34 : 66,34,66,Undergraduate & Postgraduate,16532,8417,958.44,26,321,26.11,25.82,27.08,455.28
2,AGH University of Krakow,2022,1249,25,21.11,Poland,Europe,Poland,Public,22.87835322,18.76600406,19.65662439,2721,28889,18.44748615,145,21.3,1.74,Arts & Humanities,21317,426,2,1566,13.61238825,35 : 65,35,65,Undergraduate & Postgraduate,15850,5467,1048.53,33,308,27.75,28.39,26.78,360.38
2,AGH University of Krakow,2023,1379,30,20.7025,Poland,Europe,Poland,Public,18.84974766,14.84656643,20.6208097,2976,21937,16.45710857,146,19.7,2.23,Engineering & Technology,20240,607,3,1333,15.18379595,35 : 65,35,65,Undergraduate & Postgraduate,11856,8384,1101.81,43,288,28.62,17.12,14,11.64
2,AGH University of Krakow,2024,1107,22,30.2345,Poland,Europe,Poland,Public,31.74112101,32.32308442,37.97768246,1186,27737,31.165331,167,34.9,1.33,Life Sciences & Medicine,19189,576,3,890,21.56067416,35 : 65,35,65,Undergraduate & Postgraduate,13033,6156,1155.03,48,262,30.75,20.29,16.11,11.29
