university_id,world_rank,2023 RANK,university_name,country_code_iso,country,SIZE,FOCUS,RES.,AGE,STATUS,academic_reputation_score,Academic Reputation Rank,employer_reputation_score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,citations_per_faculty,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,overall_score,student_population,students_to_staff_ratio,international_students_count,gender_ratio,teaching_score,research_environment_score,research_quality_score,industry_impact_score,international_outlook_score,Quality of Education,Alumni Employment,Quality of Faculty,Research_Output_x,publications_count,Influence,citations_count,Score,Latitude,Longitude,city,region,university_type,research_output,student_faculty_ratio,faculty_count,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_rank,country_avg_citations,country_avg_international_ratio,research_productivity_index,female_percentage,male_percentage,subject_field,citations_score,research_output_score,total_students,undergraduate_students,postgraduate_students,faculty_to_student_ratio,international_student_ratio,tuition_fee_usd,acceptance_rate,graduation_rate,Employability_Rank,qs_subject_rank,QS_Rank,THE_Rank,ARWU_Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,web_pages,country_code,h_index,degree_level
1,2,2,University of Cambridge,UK,United Kingdom,L,FC,VH,5,A,100,3,100,4,100,14,92.3,68,100,64,95.8,85,99.9,7,100,6,97.3,33=,99.2,20565,11.5,38%,48:52:00,95.8,100,98,87.9,97.4,5,19,6,12,8,6,19,94,54.7023545,-3.2765753,Cambridge,Europe,Public,Very high,4,"5,800",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,95.3,48,52,"Business & Management,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Education,Chemistry,Architecture,Other Health,Veterinary Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Accounting & Finance,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Mathematics & Statistics",94,100,20980,12940,8040,11.5,38,48000,21,97,5,5,6,5,4,3,25,4,10,http://www.cam.ac.uk/,GB,254,Undergraduate & Postgraduate
2,3,4,University of Oxford,UK,United Kingdom,L,FC,VH,5,A,100,2,100,5,100,8,90.6,73,98.2,110,98.2,60,100,1,100,3,97.8,26=,98.9,21750,10.9,42%,49:51:00,96.6,100,99,98.7,97.5,9,25,10,9,5,7,4,93.2,54.7023545,-3.2765753,Oxford,Europe,Public,Very High,3,"6,708",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,99.23333333,49,51,"Accounting & Finance,General Engineering,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Education,Civil Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Business & Management,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Computer Science,Chemistry,Chemical Engineering,Psychology,Archaeology,Geology, Environmental, Earth & Marine Sciences",95.1,100,22095,12510,9585,10.8,43,45000,17,96,3,2,4,1,6,7,27,9,4,http://www.ox.ac.uk/,GB,320,Undergraduate & Postgraduate
3,4,5,Harvard University,US,United States,L,FC,VH,5,B,100,1,100,1,98.3,44,100,1,84.6,210,66.8,223,100,5,100,1,96.7,39,98.3,20050,9,25%,51:49:00,97.7,99.9,99.4,84.2,90.8,2,1,1,1,1,1,1,100,39.7837304,-100.445882,Cambridge,North America,Private,Very High,5,"4,646",98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,94.5,51,49,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",98.8,100,22584,7153,15431,10,25,57261,3,97,4,4,5,3,1,1,1,1,1,http://www.harvard.edu/,US,343,Undergraduate & Postgraduate
4,5,3,Stanford University,US,United States,L,FC,VH,5,B,100,5,100,3,100,11,99.9,8,99.9,78,51.2,284,95.8,44,100,2,94.4,63,98.1,14517,6.4,23%,47:53:00,99,97.8,99.6,100,87,10,3,2,10,4,3,2,96.7,39.7837304,-100.445882,Stanford,North America,Private,Very High,3,"4,725",98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,99.13333333,47,53,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",99.2,100,16963,7087,9876,5.9,23,61731,4,94,2,3,3,6,2,11,4,3,2,http://www.stanford.edu/,US,230,Undergraduate & Postgraduate
5,6,6=,Imperial College London,UK,United Kingdom,L,FC,VH,5,A,98.3,23,99.4,12,98.5,42,94,58,100,61,100,14,96.7,35,83,45,94.4,61=,97.8,20275,11.8,61%,42:58:00,90.9,95.5,98.6,90.9,98.3,93,103,43,21,18,25,29,86.5,54.7023545,-3.2765753,London,Europe,Public,Very High,5,"8,000",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,95,42,58,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",88.3,100,21000,11000,10000,12.1,60,42000,14,92,7,6,2,9,23,69,117,53,17,http://www.imperial.ac.uk/,GB,243,Undergraduate & Postgraduate
6,9,8,UCL,UK,United Kingdom,XL,FC,VH,5,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100,15,100,2,51.6,126,92.5,74,92.4,41110,11.3,61%,59:41:00,78.4,86.4,98.6,75.2,97.9,618.5,609,304,381,388,425.5,405,75,39.7837304,-3.2765753,London,Europe,Public,Very High,5,"7,195",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,86.73333333,59,41,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",80.6,100,46830,21000,25830,12.3,53,35000,30,91,12,9,9,22,15,296.5,558,119.5,522,Unknown,Unknown,300,Undergraduate & Postgraduate
7,12,13,University of Pennsylvania,US,United States,L,FC,VH,5,B,96.4,29,89.1,52,99.9,24,68.4,153,96,140,70.3,208,83.3,129,100,5,99.9,3=,89.4,21312,6.2,22%,54:46:00,87.7,89.7,97.6,97.7,78.8,31,9,30,16,11,17,13,89.7,39.7837304,-100.445882,Philadelphia,North America,Private,Very High,4,"5,154",98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,95,54,46,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",93.6,100,22539,10500,12039,6.8,24,63452,6,96,6,16,13,14,14,14,8,41,11,http://www.upenn.edu/,US,323,Undergraduate & Postgraduate
8,13,20,Cornell University,US,United States,L,FC,VH,5,B,98.1,26,90.5,47,52.9,297,99.1,18,68.7,283,64,234,79.9,144,98,18,94.7,58=,89.3,23620,10,24%,51:49:00,85.7,88.7,97.6,69.4,86,14,28,19,31,24,15,40,89.4,39.7837304,-100.445882,Ithaca,North America,Private,Very High,8,"2,843",98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,85.23333333,51,49,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",88.1,100,25898,15503,10395,8.9,24,62456,7,95,16,15,16,20,12,16,28,18,24,http://www.cornell.edu/,US,310,Undergraduate & Postgraduate
9,16,18,Yale University,US,United States,M,FC,VH,5,B,99.9,9,99.9,7,100,3,45.8,293,89.8,184,78.8,169,85.8,112,99.9,9,99.2,13,87.7,11924,5.2,21%,51:49:00,94,94.9,97.7,86.5,82.4,11,34,12,37,19,11,31,90.3,39.7837304,-100.445882,New Haven,North America,Private,Very High,2,"5,391",98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,93.03333333,51,49,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",91.5,100,14401,6500,7901,6.2,22,62250,4,97,8,14,21,10,11,6,36,12,20,http://www.yale.edu/,US,236,Undergraduate & Postgraduate
10,17,12,Peking University,CN,China (Mainland),XL,FC,VH,5,A,99.4,14,95.4,37,90.4,85,97.5,38,50.8,354,23.5,492,43.2,353,82.6,46,68.8,212,87,33064,10.9,14%,Unknown,95.6,97.3,87.2,98.8,70.2,340,67,304,23,38,88,167,81.9,30.047992,-94.3357433,Beijing,Asia,Public,Very High,6,"5,302",35,12,56.53822857,28.66857143,328.4,574.8823529,12,94.43333333,54,46,"Other Health,Physics & Astronomy,Business & Management,Psychology,Education,Biological Sciences,Medicine & Dentistry,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Sociology,Archaeology,Accounting & Finance,Law,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",72.2,100,34981,15000,19981,11.5,15,5000,15,94,13,12,15,13,24,366,65,119.5,28,http://www.pku.edu.cn/,CN,596,Undergraduate & Postgraduate
