university_id,2024 RANK,2023 RANK,University,Country Code,Country_x,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Rank,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,World Rank,Location,National_Rank_x,Quality of Education,Alumni Employment,Quality of Faculty,Research_Output_x,Quality_Publications,Influence,Citations_Count,Score,Latitude,Longitude,city_x,region_x,type_x,research_output_x,student_faculty_ratio_x,faculty_count_x,city_y,region_y,type_y,research_output_y,student_faculty_ratio_y,faculty_count_y,city,region,type,research_output,student_faculty_ratio,faculty_count,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_rank,country_avg_citations,country_avg_international_ratio,research_productivity_index,female_percentage,male_percentage,subject_field,citations_score,research_output_score,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank
U0459,801-850,501-510,Yokohama City University,JP,Japan,M,FO,VH,4,A,3.3,601+,2.6,601+,97.7,49,10.3,701+,4.1,701+,2.4,701+,1.1,701+,8.5,701+,1,701+,-,936.0,5144.0,6.0,3%,55:45:00,34.146,28.4,11.3,59.4,62.4,29.0,2024,597.0,Japan,19.0,667.0,218.0,304.0,790.0,745.0,372.0,541.0,72.8,36.5748441,139.2394179,Yokohama City,Asia,Public,Very High,6.0,889,Yokohama City,Asia,Public,Very High,6.0,889,Yokohama City,Asia,Public,Very High,6.0,889,37,29.0,35.23782432432433,24.98108108108108,1011.972972972973,567.8518518518518,,44.36666666666667,55.0,45.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0460,851-900,751-800,Chonnam National University,KR,South Korea,L,FC,VH,4,A,11.7,601+,5.0,601+,44.0,357,14.3,652,11.4,701+,6.5,701+,1.7,701+,6.0,701+,4,701+,-,927.0,22051.0,17.7,7%,49:51:00,34.4545,28.5,28.3,43.6,57.5,32.8,2024,432.0,South Korea,12.0,667.0,1001.0,304.0,317.0,403.0,619.0,405.0,74.5,36.638392,127.6961188,Gwangju,Asia,Public,Very High,9.0,2.342,Gwangju,Asia,Public,Very High,9.0,2.342,Gwangju,Asia,Public,Very High,9.0,2.342,18,62.0,43.17502777777778,24.983333333333334,667.5,605.0,,43.13333333333333,49.0,51.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0461,851-900,751-800,Chungnam National University,KR,South Korea,L,FC,VH,4,A,11.7,601+,8.0,601+,45.3,348,10.6,701+,8.2,701+,10.7,701+,1.6,701+,8.0,701+,2.1,701+,-,997.0,20334.0,19.8,4%,47:53:00,32.7215,29.9,29.7,34.9,71.7,26.0,2024,607.0,South Korea,18.0,667.0,1001.0,304.0,403.0,494.0,712.0,1001.0,72.7,36.638392,127.6961188,Daejeon,Asia,Public,Very High,10.0,1.977,Daejeon,Asia,Public,Very High,10.0,1.977,Daejeon,Asia,Public,Very High,10.0,1.977,18,62.0,43.17502777777778,24.983333333333334,667.5,605.0,,45.43333333333334,47.0,53.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0462,851-900,751-800,CY Cergy Paris University,FR,France,M,FO,VH,1,A,3.4,601+,2.7,601+,41.9,376,6.5,701+,54.3,340,45.1,321,8.1,701+,7.4,701+,9.6,678=,-,804.0,16082.0,19.5,26%,52:48:00,36.8945,23.8,25.3,44.4,56.6,92.7,2024,-1.0,,-1.0,,,,,,,,,,,,Europe,Public,Very High,11.0,790,,Europe,Public,Very High,11.0,790,,Europe,Public,Very High,11.0,790,9,58.0,54.703833333333336,38.41111111111111,373.0,207.0,,42.1,52.0,48.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0463,851-900,801-1000,Gdańsk University of Technology,PL,Poland,M,FO,VH,5,A,9.2,601+,14.4,566,36.3,437,11.8,701+,3.3,701+,7.1,701+,11.8,638,8.6,701+,14.9,614=,-,1121.0,13903.0,17.9,5%,38 : 62,29.8845,19.7,17.0,48.3,50.7,35.0,2024,-1.0,,-1.0,,,,,,,,,,,Gdańsk,Europe,Public,Very High,10.0,1.187,Gdańsk,Europe,Public,Very High,10.0,1.187,Gdańsk,Europe,Public,Very High,10.0,1.187,8,614.0,28.03875,13.5375,1234.625,479.0,,38.666666666666664,38.0,62.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0464,851-900,801-1000,Georgia State University,US,United States,XL,CO,VH,4,A,11.7,601+,13.6,594,4.9,701+,20.3,556,10.5,701+,7.4,701+,17.0,573,16.1,519,11.8,644=,-,475.0,30821.0,15.7,7%,61:39:00,46.36149999999999,35.0,25.4,72.6,65.2,57.1,2024,480.0,USA,132.0,667.0,664.0,304.0,554.0,449.0,453.0,405.0,74.0,39.7837304,-100.445882,Atlanta,North America,Public,Very High,24.0,1.281,Atlanta,North America,Public,Very High,24.0,1.281,Atlanta,North America,Public,Very High,24.0,1.281,98,2.0,56.84324489795918,31.06530612244898,362.265306122449,265.6666666666667,23.5,54.4,61.0,39.0,"Biological Sciences,Economics & Econometrics,Geography,Mathematics & Statistics,Other Health,Physics & Astronomy,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Education,Accounting & Finance,Law,Sociology,Business & Management,Computer Science,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",34.4,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0465,851-900,601-650,Kanazawa University,JP,Japan,M,FC,VH,4,A,9.3,601+,4.4,601+,60.8,232,12.1,696,9.2,701+,5.8,701+,2.4,701+,7.9,701+,1.4,701+,-,1033.0,10271.0,9.9,6%,37 : 63,31.8805,35.5,18.8,35.4,70.4,33.6,2024,561.0,Japan,17.0,667.0,639.0,304.0,533.0,558.0,501.0,673.0,73.1,36.5748441,139.2394179,Kanazawa,Asia,Public,Very High,8.0,1.239,Kanazawa,Asia,Public,Very High,8.0,1.239,Kanazawa,Asia,Public,Very High,8.0,1.239,37,29.0,35.23782432432433,24.98108108108108,1011.972972972973,567.8518518518518,,41.53333333333334,37.0,63.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0466,851-900,801-1000,King Faisal University,SA,Saudi Arabia,L,FO,VH,3,A,15.0,585,8.6,601+,11.4,701+,2.4,701+,99.2,95,2.0,701+,3.1,701+,7.5,701+,1.1,701+,-,811.0,29628.0,14.5,2%,60:40:00,36.727,19.9,12.2,68.0,31.4,75.5,2024,-1.0,,-1.0,,,,,,,,,,,Hofuf,Asia,Public,High,17.0,2.100,Hofuf,Asia,Public,High,17.0,2.100,Hofuf,Asia,Public,High,17.0,2.100,9,424.0,39.266333333333336,13.544444444444444,721.5555555555555,898.0,,37.199999999999996,60.0,40.0,,,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0467,851-900,801-1000,King Faisal University,SA,Saudi Arabia,L,FO,VH,3,A,15.0,585,8.6,601+,11.4,701+,2.4,701+,99.2,95,2.0,701+,3.1,701+,7.5,701+,1.1,701+,-,811.0,29628.0,14.5,2%,60:40:00,36.727,19.9,12.2,68.0,31.4,75.5,2024,-1.0,,-1.0,,,,,,,,,,,Hofuf,Asia,Public,High,17.0,2.100,Hofuf,Asia,Public,High,17.0,2.100,Hofuf,Asia,Public,High,17.0,2.100,9,424.0,39.266333333333336,13.544444444444444,721.5555555555555,898.0,,37.199999999999996,60.0,40.0,,,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0468,851-900,1001-1200,Kuwait University,KW,Kuwait,XL,FC,MD,4,A,13.6,601+,8.3,601+,6.4,701+,2.2,701+,30.4,487,21.0,534,10.9,654,51.3,128,18.8,555=,-,1055.0,34147.0,14.7,13%,73:27:00,31.4095,19.5,9.9,55.5,28.9,66.4,2024,-1.0,,-1.0,,,,,,,,,,,Kuwait City,Asia,Public,Medium,22.0,"1,693",Kuwait City,Asia,Public,Medium,22.0,"1,693",Kuwait City,Asia,Public,Medium,22.0,"1,693",1,1055.0,31.4095,13.6,1055.0,,,31.433333333333337,73.0,27.0,,,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0469,851-900,801-1000,London South Bank University,UK,United Kingdom,L,CO,HI,3,A,3.5,601+,2.9,601+,8.3,701+,5.6,701+,78.2,237,95.9,83,2.3,701+,11.1,701+,1.1,701+,-,759.0,14510.0,17.5,37%,56:44:00,37.8715,18.6,12.4,65.9,52.4,92.3,2024,-1.0,,-1.0,,,,,,,,,,,London,Europe,Public,High,16.0,814,London,Europe,Public,High,16.0,814,London,Europe,Public,High,16.0,814,69,1.0,50.81734057971014,25.96666666666667,455.4347826086956,388.05,48.5,43.56666666666667,56.0,44.0,,,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0470,851-900,551-560,National Research Saratov State University,RU,Russia,M,CO,VH,5,A,5.2,601+,2.5,601+,95.8,58,1.7,701+,3.2,701+,18.2,572,1.2,701+,4.7,701+,1,701+,-,1531.0,9664.0,9.3,11%,58:42:00,22.269,26.8,16.1,17.6,39.1,38.0,2024,-1.0,,-1.0,,,,,,,,,,,Saratov,Europe,Public,Very High,6.0,1.718,Saratov,Europe,Public,Very High,6.0,1.718,Saratov,Europe,Public,Very High,6.0,1.718,24,95.0,29.87127083333333,13.9625,1185.0416666666667,541.0,,24.26666666666667,58.0,42.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0471,851-900,561-570,Niigata University,JP,Japan,L,FC,HI,4,A,4.9,601+,3.3,601+,88.1,93,4.6,701+,4.2,701+,3.3,701+,1.2,701+,9.2,701+,3,701+,-,1111.0,11942.0,7.2,3%,37 : 63,30.08,30.6,15.0,41.8,49.7,29.0,2024,618.0,Japan,22.0,515.0,621.0,304.0,615.0,655.0,488.0,673.0,72.6,36.5748441,139.2394179,Niigata City,Asia,Public,High,6.0,1.960,Niigata City,Asia,Public,High,6.0,1.960,Niigata City,Asia,Public,High,6.0,1.960,37,29.0,35.23782432432433,24.98108108108108,1011.972972972973,567.8518518518518,,35.5,37.0,63.0,,,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0472,851-900,1001-1200,North South University,BD,Bangladesh,L,CO,HI,3,B,12.1,601+,48.4,180,5.6,701+,2.3,701+,12.2,701+,2.4,701+,1.1,701+,13.3,645,1.1,701+,-,966.0,18681.0,21.3,0%,42:58:00,33.415,12.9,10.0,76.1,15.8,43.3,2024,-1.0,,-1.0,,,,,,,,,,,Dhaka,Asia,Private,Medium,18.0,715,Dhaka,Asia,Private,Medium,18.0,715,Dhaka,Asia,Private,Medium,18.0,715,7,855.0,30.61642857142857,11.542857142857143,1101.4285714285713,,,33.96666666666666,42.0,58.0,,,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0473,851-900,701-750,Pavol Jozef Šafárik University in Košice,SK,Slovakia,M,FC,HI,4,A,5.1,601+,3.6,601+,55.5,270,3.6,701+,2.0,701+,63.8,236,3.3,701+,13.0,663,1.3,701+,-,1342.0,7060.0,10.3,24%,67:33:00,25.748,40.7,10.2,17.1,24.9,62.1,2024,-1.0,,-1.0,,,,,,,,,,,,Europe,Public,High,8.0,810,,Europe,Public,High,8.0,810,Košice,Europe,Public,High,8.0,810,3,1054.0,26.376166666666666,6.833333333333333,1314.0,,,17.400000000000002,67.0,33.0,,,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0474,851-900,541-550,Southern Federal University,RU,Russia,L,CO,VH,5,A,7.6,601+,3.6,601+,77.8,146,1.8,701+,3.5,701+,23.1,499,5.1,701+,6.6,701+,11.7,647=,-,1483.0,19181.0,11.3,11%,54:46:00,23.104,27.9,14.3,21.4,32.1,40.3,2024,-1.0,,-1.0,,,,,,,,,,,Rostov-on-Don,Europe,Public,Very High,7.0,2.631,Rostov-on-Don,Europe,Public,Very High,7.0,2.631,Rostov-on-Don,Europe,Public,Very High,7.0,2.631,24,95.0,29.87127083333333,13.9625,1185.0416666666667,541.0,,22.600000000000005,54.0,46.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0475,851-900,801-1000,Technological University Dublin,IE,Ireland,L,CO,HI,1,A,12.1,601+,12.4,601+,12.6,701+,3.1,701+,32.7,470,39.6,346,5.0,701+,13.1,653,16.9,581=,-,1085.0,20801.0,18.7,18%,44:56:00,30.621,19.1,13.1,45.6,66.0,64.9,2024,-1.0,,-1.0,,,,,,,,,,,Dublin,Europe,Public,High,15.0,1.445,Dublin,Europe,Public,High,15.0,1.445,Dublin,Europe,Public,High,15.0,1.445,7,231.0,47.20792857142857,23.4,484.2857142857143,544.0,,41.56666666666667,44.0,56.0,,,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0476,851-900,801-1000,TU Dortmund University,DE,Germany,L,CO,VH,4,A,13.6,601+,13.8,589,22.2,626,7.4,701+,20.2,589,19.1,559,17.0,574,9.1,701+,4.4,701+,-,409.0,19477.0,56.0,15%,49:51:00,48.637,35.7,42.2,62.3,72.0,57.3,2024,-1.0,,-1.0,,,,,,,,,,,Dortmund,Europe,Public,Very High,11.0,2.137,Dortmund,Europe,Public,Very High,11.0,2.137,Dortmund,Europe,Public,Very High,11.0,2.137,9,31.0,59.471888888888884,32.65555555555556,234.0,257.5,,58.833333333333336,49.0,51.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0477,851-900,1001-1200,University of Bucharest,RO,Romania,XL,FO,VH,5,A,15.5,564,13.8,586,6.5,701+,4.2,701+,2.8,701+,1.9,701+,28.7,465,34.7,222,27.8,469=,-,1139.0,32362.0,33.3,2%,70:30:00,29.5895,24.8,21.1,43.2,25.3,29.1,2024,827.0,Romania,3.0,461.0,1001.0,304.0,674.0,925.0,1001.0,673.0,70.9,45.9852129,24.6859225,Bucharest,Europe,Public,Very High,17.0,"1,972",Bucharest,Europe,Public,Very High,17.0,"1,972",Bucharest,Europe,Public,Very High,17.0,"1,972",6,1139.0,23.05858333333333,6.883333333333333,1481.6666666666667,673.0,,29.86666666666667,70.0,30.0,,,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0478,851-900,801-1000,University of East London,UK,United Kingdom,L,CO,HI,3,A,3.6,601+,3.5,601+,3.5,701+,6.7,701+,74.2,258,100.0,31,2.1,701+,12.0,701+,1.1,701+,-,1086.0,14480.0,26.1,52%,56:44:00,30.6055,21.8,15.1,41.0,28.2,84.9,2024,-1.0,,-1.0,,,,,,,,,,,London,Europe,Public,High,22.0,582,London,Europe,Public,High,22.0,582,London,Europe,Public,High,22.0,582,69,1.0,50.81734057971014,25.96666666666667,455.4347826086956,388.05,48.5,28.099999999999998,56.0,44.0,,,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
U0479,851-900,801-1000,University of Hertfordshire,UK,United Kingdom,L,CO,HI,3,A,4.7,601+,4.8,601+,6.4,701+,5.6,701+,63.4,305,99.5,42,11.2,647,12.0,701+,2.7,701+,-,764.0,20480.0,16.3,40%,52:48:00,37.759,18.6,13.4,67.2,33.9,91.6,2024,809.0,United Kingdom,54.0,667.0,1001.0,304.0,1001.0,823.0,514.0,541.0,71.0,54.7023545,-3.2765753,Hatfield,Europe,Public,High,17.0,1.234,Hatfield,Europe,Public,High,17.0,1.234,Hatfield,Europe,Public,High,17.0,1.234,69,1.0,50.81734057971014,25.96666666666667,455.4347826086956,388.05,48.5,38.166666666666664,52.0,48.0,"Business & Management,General Engineering,Architecture,Physics & Astronomy,Geography,Communication & Media Studies,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sport Science,Psychology,Art, Performing Arts & Design,Education,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Veterinary Science,Sociology,Law,Mathematics & Statistics,Economics & Econometrics",55.5,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
