year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2020,1,University of Oxford,United Kingdom,95.4,90.5,99.6,98.4,65.5,96.4,
2020,2,California Institute of Technology,United States,94.5,92.1,97.2,97.9,88.0,82.5,
2020,3,University of Cambridge,United Kingdom,94.4,91.4,98.7,95.8,59.3,95.0,
2020,4,Stanford University,United States,94.3,92.8,96.4,99.9,66.2,79.5,
2020,5,Massachusetts Institute of Technology,United States,93.6,90.5,92.4,99.5,86.9,89.0,
2020,6,Princeton University,United States,93.2,90.3,96.3,98.8,58.6,81.1,
2020,7,Harvard University,United States,93.0,89.2,98.6,99.1,47.3,76.3,
2020,8,Yale University,United States,91.7,92.0,94.8,97.3,52.4,68.7,
2020,9,The University of Chicago,United States,90.2,89.1,91.4,96.7,52.7,76.0,
2020,10,Imperial College London,United Kingdom,89.8,84.5,87.6,97.0,69.9,97.1,
2020,11,University of Pennsylvania,United States,89.6,87.5,90.4,98.2,74.0,65.0,
2020,12,Johns Hopkins University,United States,89.2,81.7,91.4,98.3,91.3,73.2,
2020,13,"University of California, Berkeley",United States,88.3,83.0,90.6,99.2,46.1,70.4,=
2020,13,ETH Zurich,Switzerland,88.3,81.8,92.8,90.3,56.8,98.2,=
2020,15,UCL,United Kingdom,87.1,77.8,88.7,96.1,42.7,96.2,
2020,16,Columbia University,United States,87.0,85.6,82.6,98.2,44.8,79.3,
2020,17,"University of California, Los Angeles",United States,86.8,83.1,88.6,97.3,51.3,64.1,
2020,18,University of Toronto,Canada,85.5,76.6,89.5,93.6,50.5,84.7,
2020,19,Cornell University,United States,85.1,79.7,86.0,96.6,37.1,73.4,
2020,20,Duke University,United States,84.0,82.4,76.8,97.0,99.9,61.5,
2020,21,University of Michigan-Ann Arbor,United States,83.8,79.4,86.1,94.9,47.7,59.2,
2020,22,Northwestern University,United States,83.5,74.2,83.8,97.8,78.4,64.1,
2020,23,Tsinghua University,China,82.6,86.6,94.0,74.6,100.0,47.4,
2020,24,Peking University,China,82.3,89.1,90.0,73.2,86.6,59.6,
2020,25,National University of Singapore,Singapore,81.9,76.8,90.4,76.9,58.8,95.5,
2020,26,University of Washington,United States,81.6,72.2,82.2,98.6,47.5,60.4,
2020,27,Carnegie Mellon University,United States,81.3,65.9,82.7,98.2,50.5,80.6,=
2020,27,London School of Economics and Political Science,United Kingdom,81.3,69.0,83.0,92.8,35.1,93.2,=
2020,29,New York University,United States,81.1,76.8,77.5,96.5,38.7,65.4,
2020,30,University of Edinburgh,United Kingdom,79.4,67.3,74.1,96.4,38.9,93.8,
2020,31,"University of California, San Diego",United States,78.8,62.6,78.9,97.7,90.3,63.7,
2020,32,LMU Munich,Germany,77.8,68.4,77.0,88.8,100.0,67.2,=
2020,32,University of Melbourne,Australia,77.8,65.9,74.1,89.8,76.3,93.1,=
2020,34,University of British Columbia,Canada,76.3,61.5,73.2,92.5,43.8,94.4,
2020,35,University of Hong Kong,Hong Kong,75.9,69.5,77.2,76.6,59.7,98.6,
2020,36,King’s College London,United Kingdom,75.7,61.3,68.5,94.8,45.6,95.6,=
2020,36,The University of Tokyo,Japan,75.7,85.9,89.6,60.7,77.4,38.2,=
2020,38,École Polytechnique Fédérale de Lausanne,Switzerland,75.4,66.6,66.3,88.3,66.4,98.6,=
2020,38,Georgia Institute of Technology,United States,75.4,60.2,76.4,90.4,61.6,77.1,=
2020,38,University of Texas at Austin,United States,75.4,68.2,76.2,93.2,46.6,39.1,=
2020,41,Karolinska Institute,Sweden,74.7,55.4,71.4,96.1,71.2,81.2,
